fecha,equipo,rival,entrenador,alineacion,goles_a_favor,goles_en_contra,resultado,puntos,puntos_acumulados,resultado_texto,estadio,ciudad,capacidad,altitud,disparos,disparos_al_arco,posesion,pases,pases_completados_en_porcentaje,faltas,tarjetas_amarillas,tarjetas_rojas,offsides,corners,jornada
2024-09-06,Uruguay,Paraguay,Marcelo Bielsa,4-3-3,0,0,0-0,1,14,Empate,Estadio Centenario,Montevideo,60235,141,12,1,66,480,78,13,4,0,4,8,07
2024-09-06,Paraguay,Uruguay,Gustavo Alfaro,4-2-3-1,0,0,0-0,1,6,Empate,Estadio Centenario,Montevideo,60235,141,8,2,34,270,62,11,2,0,2,0,07
2024-09-06,Brazil,Ecuador,Dorival Júnior,4-2-3-1,1,0,1-0,3,10,Victoria,Estadio Major Antônio Couto Pereira,Coritiba,40502,3066,10,3,58,611,89,8,1,0,0,4,07
2024-09-06,Ecuador,Brazil,Sebastián Beccacece,3-5-2,0,1,0-1,0,8,Derrota,Estadio Major Antônio Couto Pereira,Coritiba,40502,3066,9,2,42,450,83,17,0,0,2,2,07
2024-09-06,Peru,Colombia,Leonardo Martins,3-5-2,1,1,1-1,1,3,Empate,Estadio Nacional de Lima,Lima,50086,505,9,3,30,225,67,9,0,0,4,5,07
2024-09-06,Colombia,Peru,Nestor Lorenzo,4-3-3,1,1,1-1,1,13,Empate,Estadio Nacional de Lima,Lima,50086,505,16,5,70,516,87,13,2,0,0,10,07
2024-09-10,Colombia,Argentina,Nestor Lorenzo,4-3-3,2,1,2-1,3,16,Victoria,Estadio Metropolitano,Barranquilla,46692,59,9,5,47,314,82,8,2,0,2,2,08
2024-09-10,Argentina,Colombia,Lionel Scaloni,4-4-2,1,2,1-2,0,18,Derrota,Estadio Metropolitano,Barranquilla,46692,59,13,1,53,342,85,10,2,0,0,4,08
2024-09-10,Ecuador,Peru,Sebastián Beccacece,3-4-3,1,0,1-0,3,11,Victoria,Casa Blanca,Quito,41575,9350,11,5,70,532,90,20,1,0,5,8,08
2024-09-10,Peru,Ecuador,Jorge Fossati,3-5-2,0,1,0-1,0,3,Derrota,Casa Blanca,Quito,41575,9350,2,1,30,240,68,9,4,0,5,0,08
2024-09-10,Chile,Bolivia,Ricardo Gareca,4-4-2,1,2,1-2,0,5,Derrota,Estadio Nacional Julio Martínez Pradanos,Nunoa,48665,13123,19,5,75,552,85,11,4,0,1,10,08
2024-09-10,Bolivia,Chile,Oscar Villegas,4-3-3,2,1,2-1,3,9,Victoria,Estadio Nacional Julio Martínez Pradanos,Nunoa,48665,13123,5,2,25,195,63,10,3,0,0,2,08
2024-09-10,Venezuela,Uruguay,Fernando Batista,4-1-4-1,0,0,0-0,1,10,Empate,Estadio Monumental de Maturín,Maturin,51796,220,20,6,44,289,69,7,3,0,2,5,08
